# t (s)	mx ()	my ()	mz ()
0	0.099875234	0.94881475	0.29962572
1.0021299222760657e-10	0.21183369	0.96076965	0.17749414
2.0035775379788005e-10	0.2750234	0.9555589	0.104173325
3.005532528241003e-10	0.30985194	0.94868594	0.060037978
4.0024761205675176e-10	0.32797623	0.943889	0.03361321
5.004400765065967e-10	0.33639467	0.94135725	0.017624859
6.000710216186195e-10	0.33897108	0.9405633	0.008046502
7.002669624784504e-10	0.33806923	0.9409202	0.0022339693
8.005163612453732e-10	0.33504704	0.94200355	-0.0012783032
9.001561051273584e-10	0.33075818	0.94351447	-0.0033993102
1.0003018064330805e-09	0.32564372	0.94528806	-0.00470666
1.1005451457732268e-09	0.32000703	0.9472089	-0.0055208327
1.2002193123949071e-09	0.3140585	0.9491968	-0.006039039
1.3003855508324788e-09	0.30783385	0.95123386	-0.006387578
1.400012645799809e-09	0.30145225	0.95327604	-0.006635043
1.5002507131142814e-09	0.29486927	0.9553339	-0.006828065
1.6004620800240547e-09	0.2881388	0.9573867	-0.0069915727
1.700081238866077e-09	0.28130403	0.9594185	-0.0071409815
1.8002719627417026e-09	0.27428266	0.9614506	-0.007287984
1.9005188519571768e-09	0.26710302	0.96347123	-0.007438034
2.000155204400247e-09	0.2598051	0.9654659	-0.0075940886
2.100309561129222e-09	0.25229564	0.96745664	-0.0077606225
2.2005630956553007e-09	0.24459195	0.96943396	-0.007938973
2.3002147481616437e-09	0.23673567	0.9713833	-0.008129324
2.400355389681014e-09	0.22862625	0.9733246	-0.008335044
2.5000100782313587e-09	0.22032681	0.9752375	-0.008555317
2.6002609281890457e-09	0.21172965	0.97714025	-0.008793728
2.7004135448017547e-09	0.20287421	0.97901744	-0.009049936
2.800045617289082e-09	0.1937808	0.9808577	-0.00932392
2.9002853355413737e-09	0.18432519	0.98267806	-0.009620111
3.0004850815348827e-09	0.17454357	0.9844618	-0.009938138
3.1001044560797054e-09	0.1644682	0.986194	-0.010277515
3.200300549542863e-09	0.15395685	0.987888	-0.010643706
3.300542663670331e-09	0.14303473	0.9895264	-0.011036607
3.4001701071539405e-09	0.131749	0.9910895	-0.01145505
3.5003210074245813e-09	0.119941294	0.9925844	-0.011905494
3.600570960064885e-09	0.1076255	0.9939915	-0.012388038
3.7002222615601193e-09	0.09485787	0.99528635	-0.012900792
3.800354914949694e-09	0.08146627	0.9964663	-0.013450941
3.9000015519249335e-09	0.06754426	0.99750006	-0.014034709
4.000255021053912e-09	0.05290099	0.998376	-0.014659944
4.10040518434186e-09	0.037597574	0.99906033	-0.015323609
4.200026785551807e-09	0.02166779	0.9995224	-0.016023222
4.300262200038374e-09	0.004890838	0.99973327	-0.016767021
4.400458543515396e-09	-0.012666251	0.9996513	-0.01754998
4.500069549927714e-09	-0.030933272	0.9992374	-0.01836602
4.600262600945171e-09	-0.050153274	0.99843997	-0.019222153
4.7005012659641756e-09	-0.070254706	0.9972078	-0.020110184
4.800126094175349e-09	-0.09111355	0.99549735	-0.021018494
4.900276107173018e-09	-0.11297306	0.99323046	-0.021950055
5.000525947599846e-09	-0.13574247	0.99034995	-0.022891613
5.1001786175286214e-09	-0.1592363	0.9868177	-0.023825008
5.200317538174004e-09	-0.18367094	0.9825342	-0.024746606
5.300538656310795e-09	-0.20889822	0.9774515	-0.02563664
5.400219621714995e-09	-0.23467961	0.9715538	-0.026472319
5.500384728890186e-09	-0.2611815	0.9647368	-0.027243504
5.600019058248854e-09	-0.28801718	0.95703876	-0.027923409
5.700250505254947e-09	-0.31535304	0.9483553	-0.028500993
5.800467882007427e-09	-0.342871	0.9387323	-0.028954744
5.900101183199003e-09	-0.37024823	0.9282545	-0.029269015
6.00028232133022e-09	-0.3976239	0.91684514	-0.029436942
6.1005392067754114e-09	-0.42469484	0.90461206	-0.029450392
6.200170512643789e-09	-0.45110926	0.89172757	-0.029309634
6.3003313710553025e-09	-0.47702065	0.8781387	-0.02901746
6.4000172760122105e-09	-0.5020329	0.86408746	-0.028585568
6.500258993041667e-09	-0.52628833	0.8495418	-0.028022408
6.600428475193979e-09	-0.5495366	0.8347057	-0.027346846
6.700102178809557e-09	-0.57162106	0.81975794	-0.026580906
6.800353094095541e-09	-0.59273493	0.8046447	-0.025735546
6.9000272679378146e-09	-0.61261433	0.78963816	-0.024839615
7.00019034880334e-09	-0.63147247	0.7746653	-0.02390201
7.100424282234981e-09	-0.649237	0.75986516	-0.022943217
7.200110118615761e-09	-0.6658354	0.7453902	-0.02198414
7.300302531449501e-09	-0.68148404	0.7311372	-0.021027353
7.400493173875099e-09	-0.6961433	0.7172197	-0.020088283
7.500184235859904e-09	-0.70980024	0.70373213	-0.019179743
7.600403104029959e-09	-0.7226505	0.6905544	-0.018298695
7.700052148796506e-09	-0.73460996	0.6778413	-0.017459288
7.800247410210625e-09	-0.7458692	0.6654543	-0.016655128
7.900500326910156e-09	-0.7564213	0.65345603	-0.015892247
8.000178751598654e-09	-0.76625746	0.64191353	-0.015175836
8.10034716705402e-09	-0.77553385	0.6306937	-0.014498085
8.200561661830925e-09	-0.78425163	0.6198376	-0.013861594
8.3002476337064e-09	-0.79240876	0.6093914	-0.013268533
8.400460864485912e-09	-0.80013263	0.5992297	-0.0127110975
8.500115924870248e-09	-0.80737746	0.5894469	-0.012193574
8.600319585081168e-09	-0.8142584	0.5799184	-0.0117083695
8.700019093954734e-09	-0.82073534	0.57072824	-0.0112586925
8.800229535690954e-09	-0.82690334	0.561767	-0.010838053
8.900399630298417e-09	-0.8327533	0.5530702	-0.010447087
9.000085619450922e-09	-0.8382863	0.54465866	-0.010085458
9.100322146204427e-09	-0.84358215	0.53643054	-0.009747696
9.200509465331142e-09	-0.84862804	0.52842224	-0.00943435
9.30017517003177e-09	-0.85342103	0.5206559	-0.009145142
9.40043215413451e-09	-0.85803175	0.5130314	-0.0088753775
9.50008027661839e-09	-0.86242086	0.50562763	-0.008626928
9.600246888262459e-09	-0.86665267	0.49834824	-0.008395712
9.700459362184787e-09	-0.87071925	0.49121708	-0.0081817955
9.800147766363613e-09	-0.8746107	0.48426265	-0.007985199
9.900354649459167e-09	-0.87837905	0.4774015	-0.007802876
1.0000516561274773e-08	-0.88201237	0.47066283	-0.007635057
1.0100197412521529e-08	-0.8855054	0.46406525	-0.007481529
1.0200446858668037e-08	-0.88890344	0.4575301	-0.0073399553
1.0300089542841982e-08	-0.8921749	0.45112497	-0.0072112964
1.0400240578538805e-08	-0.8953638	0.44476932	-0.0070934715
1.0500496589370437e-08	-0.89846355	0.43848103	-0.006986509
1.0600169480359389e-08	-0.9014597	0.4322947	-0.0068905624
1.0700317739798627e-08	-0.90439016	0.42613673	-0.0068041384
1.0800549684517118e-08	-0.9072483	0.42002392	-0.0067272633
1.0900227048783484e-08	-0.9100218	0.41398734	-0.0066599995
1.1000390016991876e-08	-0.9127439	0.40795675	-0.0066013364
1.1100029056043941e-08	-0.9153923	0.40198573	-0.0065515772
1.1200269181930265e-08	-0.9180004	0.39599985	-0.0065099495
1.1300485822863207e-08	-0.9205555	0.39002958	-0.00647659
1.1400110620180939e-08	-0.92304724	0.38410172	-0.006451463
1.1500313357037564e-08	-0.92550814	0.3781397	-0.0064341435
1.1600006262646092e-08	-0.9279146	0.37220138	-0.00642474
1.1700191548650221e-08	-0.93029404	0.36622012	-0.0064231083
1.1800349298715629e-08	-0.93263614	0.3602199	-0.00642929
1.1900032272615214e-08	-0.9349335	0.35422054	-0.006443204
1.2000266660303745e-08	-0.9372121	0.34815314	-0.006465064
1.2100423380686284e-08	-0.9394596	0.34204805	-0.0064948625
1.2200076742169323e-08	-0.94166887	0.33592415	-0.006532508
1.2300329133595626e-08	-0.94386613	0.32970592	-0.0065785823
1.2400491123671113e-08	-0.9460379	0.3234278	-0.006633007
1.2500125560934033e-08	-0.94817626	0.31710958	-0.006695685
1.2600368018886342e-08	-0.95030737	0.3106706	-0.0067675947
1.2700047763567857e-08	-0.95240754	0.30417734	-0.0068481965
1.2800203587682299e-08	-0.9544996	0.29755288	-0.0069386587
1.2900399196535306e-08	-0.9565756	0.29081565	-0.0070390305
1.300008966725619e-08	-0.95862484	0.2839931	-0.007149118
1.3100278271655906e-08	-0.96066874	0.2770059	-0.0072705047
1.3200448059980568e-08	-0.962697	0.26987797	-0.0074031665
1.3300128194873295e-08	-0.9647002	0.26263198	-0.007546968
1.340035100028095e-08	-0.96669924	0.25518045	-0.007704041
1.3500497021371524e-08	-0.96868116	0.24755499	-0.007874195
1.360015433908771e-08	-0.9706373	0.2397745	-0.008057387
1.3700408716956013e-08	-0.9725879	0.23173901	-0.008256457
1.3800049214978941e-08	-0.9745081	0.22352986	-0.0084698945
1.3900189865753498e-08	-0.97641724	0.21503885	-0.008701047
1.4000429222519698e-08	-0.97830546	0.20627983	-0.008950187
1.4100101937156063e-08	-0.9801571	0.19729371	-0.009216674
1.4200242424054008e-08	-0.98198813	0.18796727	-0.009504479
1.4300445412689914e-08	-0.9837862	0.17831412	-0.009813911
1.440012841327048e-08	-0.9855358	0.1683695	-0.010144425
1.4500309448672604e-08	-0.9872488	0.15800731	-0.0105008595
1.4600465758237082e-08	-0.9889083	0.14725277	-0.010883106
1.4700136723509217e-08	-0.9904982	0.13613072	-0.01129083
1.4800364270270047e-08	-0.9920249	0.12449491	-0.011730015
1.4900502178463882e-08	-0.993466	0.11238603	-0.012199759
1.5000154973898602e-08	-0.9948025	0.0998236	-0.012699662
1.5100404529709248e-08	-0.99603236	0.08663607	-0.013236898
1.5200045007909486e-08	-0.99712217	0.0729468	-0.0138066085
1.530017917398914e-08	-0.99806273	0.058568608	-0.014416495
1.5400419252559222e-08	-0.99882376	0.043513943	-0.015065747
1.5500084780770877e-08	-0.99937326	0.027851963	-0.01575056
1.5600221824734482e-08	-0.99968517	0.011381855	-0.016478458
1.5700419098893237e-08	-0.9997198	-0.0058710757	-0.01724652
1.580010033687431e-08	-0.9994381	-0.023836378	-0.018048998
1.5900274404523445e-08	-0.9987923	-0.04272633	-0.018891897
1.6000428263443977e-08	-0.99773294	-0.062475882	-0.019767772
1.610010395253473e-08	-0.9962143	-0.08300706	-0.020667508
1.6200324770618856e-08	-0.99416244	-0.10454144	-0.021593705
1.630045997610102e-08	-0.9915255	-0.12694836	-0.022532031
1.640011393820255e-08	-0.98825663	-0.1501169	-0.023467962
1.6500364613899e-08	-0.98425657	-0.17426836	-0.024398651
1.6600005805926953e-08	-0.9795135	-0.19906318	-0.025297904
1.6700143842947128e-08	-0.97392046	-0.2247065	-0.02615878
1.6800377350706877e-08	-0.9674441	-0.25101176	-0.026959013
1.6900051467281467e-08	-0.9600965	-0.27769232	-0.02767477
1.7000208800895728e-08	-0.95177877	-0.30489594	-0.028294664
1.710039300339731e-08	-0.94251645	-0.3323532	-0.028797323
1.7200080258736495e-08	-0.9323778	-0.35975796	-0.029165572
1.7300295252038926e-08	-0.9212924	-0.38722154	-0.02939108
1.7400444982974803e-08	-0.9093744	-0.4144078	-0.02946375
1.7500118687668846e-08	-0.89675254	-0.4410391	-0.029381668
1.760037366258951e-08	-0.8833822	-0.46723804	-0.029145986
1.7700013508866303e-08	-0.8695256	-0.49254972	-0.028766755
1.780017690236369e-08	-0.85513675	-0.51714057	-0.02825142
1.7900422619544816e-08	-0.84039086	-0.5407934	-0.027616259
1.800010756788501e-08	-0.8254994	-0.56328714	-0.026883746
1.8100291062986564e-08	-0.8104147	-0.5848098	-0.026065249
1.8200471637469755e-08	-0.7953137	-0.60521615	-0.025183672
1.8300161242832577e-08	-0.780362	-0.62440693	-0.024262493
1.8400396906256147e-08	-0.765484	-0.64259064	-0.0233096
