# t (s)	mx ()	my ()	mz ()
0	0.099875234	0.94881475	0.29962572
5.009204450375038e-11	0.1656445	0.9581274	0.23208599
1.0021270962564142e-10	0.21575351	0.9594221	0.18002069
1.5024629703665162e-10	0.25410432	0.95680827	0.13955763
2.0037881067710186e-10	0.28351	0.9526373	0.10805295
2.5050327510772277e-10	0.30598563	0.9481443	0.08359927
3.000041683332105e-10	0.3229702	0.9439766	0.06482773
3.5015842452931564e-10	0.33612618	0.94027823	0.050043784
4.0022440212500626e-10	0.3461327	0.9371831	0.038589187
4.502990885774439e-10	0.35373878	0.9346632	0.029694533
5.004511202954693e-10	0.35950238	0.93265533	0.022779211
5.505176030995779e-10	0.36382866	0.9310911	0.017419841
6.000832776118234e-10	0.36702582	0.92990285	0.013294699
6.502064792746845e-10	0.3694088	0.92899895	0.0100513445
7.002517383658743e-10	0.37112737	0.9283369	0.0075366944
7.503769062328885e-10	0.3723362	0.92786616	0.005580798
8.005060168934105e-10	0.37314764	0.9275478	0.0040621036
8.500158469368153e-10	0.37364626	0.9273513	0.0028957797
9.001652682669704e-10	0.3739132	0.927246	0.0019770567
9.502415270631008e-10	0.37399396	0.92721474	0.0012646976
1.0003254063255862e-09	0.3739307	0.9272407	0.00071134407
1.0504830995234718e-09	0.37375516	0.9273119	0.0002810005
1.1005504554528288e-09	0.373493	0.92741776	-5.2612344e-05
1.1501097486990902e-09	0.37316695	0.927549	-0.0003094811
1.2002340103701647e-09	0.3727848	0.9277028	-0.0005115834
1.250291348329143e-09	0.3723622	0.9278725	-0.0006684278
1.300407416547413e-09	0.37190717	0.928055	-0.00079049356
1.3505513069701908e-09	0.371427	0.92824745	-0.00088545354
1.4000496615400317e-09	0.3709339	0.92844474	-0.00095849007
1.4502002318998697e-09	0.3704191	0.92865026	-0.0010162045
1.5002921647189764e-09	0.369893	0.9288603	-0.001061144
1.55035506428239e-09	0.36935788	0.92907333	-0.0010962271
1.6005023850394644e-09	0.36881432	0.92928946	-0.0011237276
1.6500184489359624e-09	0.36827177	0.92950475	-0.0011450677
1.7001322605245373e-09	0.36771798	0.9297241	-0.0011621064
1.7502723768212064e-09	0.36716002	0.9299448	-0.0011756062
1.800329653302331e-09	0.3665999	0.93016607	-0.0011863515
1.850420110629617e-09	0.3660367	0.9303881	-0.0011949937
1.900019665068553e-09	0.3654769	0.9306084	-0.0012019556
1.9500679143469996e-09	0.36491007	0.93083096	-0.0012077374
2.0001980765826045e-09	0.36434066	0.9310541	-0.0012125871
2.0503189120407194e-09	0.36376986	0.93127745	-0.0012167029
2.1003691117638843e-09	0.36319852	0.9315008	-0.0012202744
2.150503936721718e-09	0.36262494	0.93172437	-0.0012234472
2.200046333262308e-09	0.36205685	0.9319456	-0.001226284
2.250135552277001e-09	0.36148134	0.93216914	-0.0012289422
2.3002811226335316e-09	0.36090404	0.9323931	-0.0012314556
2.3503643926017027e-09	0.36032626	0.93261683	-0.001233859
2.4004286098486003e-09	0.3597476	0.93284035	-0.0012362002
2.450041289228351e-09	0.35917297	0.93306196	-0.0012384953
2.5000847379932507e-09	0.35859227	0.93328553	-0.001240801
2.5502015399918233e-09	0.35800943	0.93350947	-0.0012431262
2.6003396276000864e-09	0.35742515	0.9337336	-0.0012454807
2.6503837943844785e-09	0.35684076	0.9339573	-0.0012478682
2.7005059395833263e-09	0.35625416	0.9341814	-0.0012503046
2.750067869414499e-09	0.35567278	0.9344031	-0.001252766
2.8001443211404707e-09	0.35508412	0.93462723	-0.0012553108
2.8502917522479186e-09	0.35449323	0.93485165	-0.001257929
2.9003781782727125e-09	0.35390162	0.9350761	-0.0012606133
2.950445089743054e-09	0.3533088	0.93530047	-0.0012633702
