# t (s)	mx ()	my ()	mz ()
0	0.099875234	0.94881475	0.29962572
1.0025030569870804e-10	0.20845702	0.96192014	0.175266
2.004139349932142e-10	0.26768	0.95801145	0.100766316
3.0004252079289014e-10	0.29818425	0.9526569	0.056213997
4.002706928228149e-10	0.31213304	0.94939643	0.02928162
5.004863077392766e-10	0.3161705	0.94842243	0.013111423
6.001153745713164e-10	0.31432074	0.9491229	0.0034241662
7.003005895545172e-10	0.3088913	0.9509088	-0.0024724486
8.005516662494619e-10	0.30124754	0.9533445	-0.0060667377
9.002040448023882e-10	0.29225802	0.95612514	-0.008278079
1.0003556988482915e-09	0.28229523	0.9591042	-0.009690644
1.1000135173137498e-09	0.27172655	0.9621455	-0.010623345
1.2002660640295827e-09	0.26058656	0.96521854	-0.011287784
1.3004156884676332e-09	0.24902758	0.9682628	-0.011799293
1.400049122601122e-09	0.23713556	0.97124213	-0.012230397
1.5002975961084624e-09	0.22478199	0.974174	-0.01263077
1.6004874858909837e-09	0.21203656	0.9770258	-0.013025181
1.700109948925832e-09	0.19894688	0.9797732	-0.013429004
1.8003110037365689e-09	0.18533354	0.98243695	-0.013858208
1.900551261820248e-09	0.17123139	0.9849895	-0.014318444
2.000180403315716e-09	0.1566979	0.98740196	-0.014812022
2.1003360459656575e-09	0.14152601	0.9896854	-0.01534884
2.200007863270713e-09	0.12582415	0.9917978	-0.015926993
2.3002421891793433e-09	0.109379604	0.9937382	-0.016555607
2.400376836849928e-09	0.09224729	0.99546576	-0.017233388
2.5000249591663024e-09	0.07444939	0.99694407	-0.017959345
2.600277309998375e-09	0.05573847	0.9981524	-0.018743033
2.7004273052170318e-09	0.03618925	0.99903727	-0.01958011
2.8000499476231636e-09	0.01584361	0.99954987	-0.020466346
2.900287344368925e-09	-0.0055792937	0.9996401	-0.021410532
3.00048199709513e-09	-0.02798841	0.99924123	-0.02240386
3.1000934576192583e-09	-0.051286925	0.9982914	-0.023435473
3.2002866348056902e-09	-0.075770214	0.9967038	-0.024509963
3.300525034780145e-09	-0.10132601	0.9943994	-0.025611555
3.400149529552035e-09	-0.12776856	0.991315	-0.026719365
3.500300455359596e-09	-0.1553689	0.9873291	-0.02782917
3.600553733271829e-09	-0.18396409	0.9823645	-0.028915888
3.7002074519430907e-09	-0.21326347	0.9763834	-0.029948825
3.800345983860189e-09	-0.24347043	0.96925277	-0.030913498
3.900002238180007e-09	-0.27414984	0.96098727	-0.031773597
4.000258207474572e-09	-0.30546206	0.9514612	-0.032511167
4.100425043376548e-09	-0.33699608	0.940722	-0.03309486
4.200061171058973e-09	-0.3683943	0.92884845	-0.033502124
4.300284688269268e-09	-0.39978075	0.915757	-0.03372141
4.40051303842845e-09	-0.43074164	0.9015945	-0.033740677
4.500140147252442e-09	-0.4608747	0.88656396	-0.03356033
4.6003160494965296e-09	-0.49032745	0.87062323	-0.033185028
4.700570163236517e-09	-0.5187783	0.8539864	-0.032628648
4.800237665079304e-09	-0.545905	0.8369236	-0.031916037
4.9003864239093164e-09	-0.57189286	0.8194094	-0.031064097
5.000046367767501e-09	-0.59641945	0.80176294	-0.030107656
5.100303320470666e-09	-0.6197125	0.78393185	-0.029063672
5.200518308970494e-09	-0.6416046	0.76615393	-0.027964879
5.300154552176839e-09	-0.6620101	0.74863064	-0.026842201
5.4003601556040306e-09	-0.6812035	0.7312482	-0.025704468
5.500067347756244e-09	-0.6990331	0.7142619	-0.02458216
5.6002461085826585e-09	-0.7157389	0.697559	-0.023479378
5.700453884735944e-09	-0.73131067	0.6812532	-0.022412911
5.800139039325496e-09	-0.74574697	0.66545475	-0.021396983
5.900376331459798e-09	-0.7592797	0.6500055	-0.020426651
6.000023543316e-09	-0.77183056	0.6350838	-0.019516682
6.100190630805206e-09	-0.783613	0.62051785	-0.018658787
6.200461850547727e-09	-0.7946399	0.60636145	-0.01785754
6.300128602357096e-09	-0.8049038	0.5926961	-0.01711758
6.400293794675119e-09	-0.81457996	0.57935125	-0.016429212
6.500511478223297e-09	-0.823676	0.56636876	-0.015793994
6.600200960885126e-09	-0.8321943	0.553799	-0.015212929
6.700410445841689e-09	-0.84027165	0.54148644	-0.014677403
6.8000551910740155e-09	-0.8478632	0.5295409	-0.014190594
6.900257416242546e-09	-0.8550932	0.517804	-0.013744431
7.000510587605393e-09	-0.8619572	0.5063141	-0.013339062
7.100169274469929e-09	-0.8684454	0.49511996	-0.012974377
7.200328297262539e-09	-0.8746589	0.4840756	-0.0126440795
7.300573663135627e-09	-0.8805954	0.4732062	-0.01234776
7.400252127140136e-09	-0.8862421	0.46255955	-0.012085212
7.500407756896949e-09	-0.89167994	0.4520029	-0.011851923
7.600053280438302e-09	-0.8968747	0.44161958	-0.011648639
7.700295088457447e-09	-0.9019016	0.43127412	-0.0114717875
7.800510665694133e-09	-0.9067437	0.4210116	-0.0113215
7.900145514797844e-09	-0.9113903	0.41086856	-0.011197348
8.000338447029004e-09	-0.91590786	0.40070948	-0.011097048
8.100023541957566e-09	-0.92025965	0.39062342	-0.011020992
8.200238901939177e-09	-0.924502	0.38048595	-0.010967836
8.300393667974804e-09	-0.92861825	0.37033755	-0.010937669
8.400057753649725e-09	-0.9326005	0.3602025	-0.010930171
8.500311969469965e-09	-0.9364994	0.34995106	-0.010945191
8.600463445395741e-09	-0.9402939	0.33963352	-0.010982818
8.700112960585472e-09	-0.9439758	0.3292712	-0.011042869
8.800367886748248e-09	-0.9475908	0.31872758	-0.011126367
8.900021697975615e-09	-0.9510996	0.30810773	-0.011232762
9.000168869817953e-09	-0.9545442	0.2972726	-0.011363782
9.100398154305496e-09	-0.9579121	0.2862414	-0.011519855
9.200080451813032e-09	-0.96118414	0.27506012	-0.011700725
9.300239472520045e-09	-0.96439457	0.26358798	-0.011909268
9.400425967556203e-09	-0.967528	0.25184724	-0.012145968
9.500112858057708e-09	-0.9705666	0.2398727	-0.01241075
9.600305693476698e-09	-0.97353804	0.22751284	-0.012707817
9.700453952159728e-09	-0.97642076	0.21480098	-0.013037446
9.800128031758822e-09	-0.9791975	0.20176014	-0.013399802
9.900366349588515e-09	-0.9818886	0.18821755	-0.0138007
1.0000501621265159e-08	-0.9844654	0.17422168	-0.014239857
1.0100151105067182e-08	-0.986907	0.15978956	-0.014717465
1.0200403996545793e-08	-0.98922455	0.14471944	-0.015241148
1.030005278518864e-08	-0.9913718	0.12914789	-0.015806902
1.0400188103048451e-08	-0.9933508	0.112858295	-0.016423125
1.0500425766050069e-08	-0.99512655	0.09585816	-0.017090037
1.0600094376886677e-08	-0.99665797	0.07821594	-0.017804708
1.0700236254343413e-08	-0.99792624	0.05969696	-0.018576017
1.0800428813042668e-08	-0.9988823	0.040321775	-0.019401971
1.0900110716465102e-08	-0.9994761	0.020155061	-0.02027757
1.1000289896020287e-08	-0.99965936	-0.0010541314	-0.02121046
1.110043964608674e-08	-0.99936783	-0.023243465	-0.022193402
1.1200112861680402e-08	-0.9985388	-0.04634161	-0.023217019
1.1300339337285705e-08	-0.99708843	-0.070613846	-0.024284987
1.1400470379221865e-08	-0.994942	-0.09592242	-0.025380928
1.1500120097548262e-08	-0.9920295	-0.12215594	-0.026487628
1.1600373372500193e-08	-0.9882309	-0.14957638	-0.02760097
1.1700016374548386e-08	-0.9835068	-0.17780212	-0.028688023
1.1800156667823222e-08	-0.9777244	-0.20706764	-0.029738134
1.19003918629167e-08	-0.9708254	-0.23715553	-0.030721253
1.2000065191435786e-08	-0.9628046	-0.26772547	-0.031604502
1.2100216495105808e-08	-0.9535416	-0.2989278	-0.03236999
1.2200414298897087e-08	-0.9430521	-0.33043745	-0.032987602
1.2300106784307621e-08	-0.9314165	-0.36186558	-0.03343264
1.2400297901123582e-08	-0.91856176	-0.3933018	-0.033692323
1.2500466971610248e-08	-0.9046217	-0.42435163	-0.03375338
1.260015763993126e-08	-0.88977015	-0.45465493	-0.033614106
1.2700388221359811e-08	-0.873981	-0.48431474	-0.033277884
1.2800025165708876e-08	-0.85757655	-0.512817	-0.03276105
1.2900193079936359e-08	-0.8405263	-0.54033506	-0.032076687
1.3000452516892948e-08	-0.82305706	-0.5666227	-0.031249875
1.3100132798271984e-08	-0.8054407	-0.59143484	-0.03031345
1.3200310490872633e-08	-0.78762966	-0.61499673	-0.029284958
1.3300513015579478e-08	-0.7698355	-0.6371735	-0.028195595
1.3400207565339107e-08	-0.7522628	-0.6578707	-0.027076632
1.350043360758472e-08	-0.734821	-0.6773392	-0.025938824
1.3600084508999991e-08	-0.7177757	-0.69541633	-0.024813777
1.3700267300279469e-08	-0.70099354	-0.7123678	-0.023704728
1.380052939203925e-08	-0.68459386	-0.72817737	-0.022629302
1.3900201314939264e-08	-0.66870916	-0.7428237	-0.021603644
1.4000361876022136e-08	-0.6531812	-0.75654364	-0.020623084
1.4100034350129943e-08	-0.6381655	-0.7692791	-0.019701328
1.420029051526407e-08	-0.6234978	-0.7812392	-0.018830828
1.4300509455427774e-08	-0.6092626	-0.79241335	-0.01801818
1.4400148097723623e-08	-0.5955186	-0.8028138	-0.017266843
1.4500349948322257e-08	-0.5820901	-0.8126215	-0.016566927
1.4600036632942317e-08	-0.56910145	-0.8217869	-0.01592414
1.4700261552281228e-08	-0.5563936	-0.8304588	-0.015329471
1.4800431574850391e-08	-0.5440212	-0.8386301	-0.014784314
1.4900114957145544e-08	-0.5320114	-0.8463127	-0.014288063
1.500035963095727e-08	-0.52021456	-0.85362655	-0.013832962
1.5100008267857837e-08	-0.5087434	-0.86052334	-0.013421729
1.5200174691695694e-08	-0.49744612	-0.8671131	-0.013047308
1.5300413065245506e-08	-0.48635215	-0.8733932	-0.012709422
1.5400099796784915e-08	-0.47550684	-0.8793535	-0.012407806
1.5500276940756135e-08	-0.4647748	-0.8850807	-0.012137331
1.5600451719896024e-08	-0.4541886	-0.8905671	-0.011897804
1.5700131617608327e-08	-0.4437786	-0.8958069	-0.011688611
1.5800363202106497e-08	-0.43341503	-0.90087336	-0.011506168
1.5900003595873584e-08	-0.42319638	-0.9057248	-0.0113513265
1.6000177700467072e-08	-0.41298732	-0.9104311	-0.0112212505
1.6100434289541704e-08	-0.40281492	-0.9149828	-0.011115873
1.6200097425459303e-08	-0.39272812	-0.9193624	-0.011034973
1.6300247238553588e-08	-0.3825984	-0.9236288	-0.010977065
1.64004786854295e-08	-0.3724473	-0.9277732	-0.010942152
1.650016147669261e-08	-0.3623194	-0.9317792	-0.010930011
1.6600345200946937e-08	-0.35208848	-0.9356971	-0.01094036
1.6700516454155207e-08	-0.34178632	-0.93951285	-0.01097331
1.6800193306262672e-08	-0.33144277	-0.9432148	-0.011028668
1.690042106824388e-08	-0.32092825	-0.94684714	-0.011107333
1.700006056893768e-08	-0.31034058	-0.9503728	-0.011208815
1.710022784889513e-08	-0.2995388	-0.9538349	-0.011334804
1.7200479571202133e-08	-0.28854576	-0.95721996	-0.0114856865
1.730013400759155e-08	-0.2774131	-0.9605073	-0.011661105
1.7400287107855202e-08	-0.26599294	-0.96373385	-0.011863982
1.750051944331278e-08	-0.2543039	-0.966885	-0.012094867
1.760020058650343e-08	-0.24239287	-0.9699402	-0.012353453
1.7700359977129116e-08	-0.23010692	-0.97292817	-0.012643869
1.7800545770934378e-08	-0.2174669	-0.97583073	-0.0129667055
1.7900230031357714e-08	-0.20450814	-0.9786275	-0.013321829
1.8000428646830344e-08	-0.1910625	-0.9813393	-0.013714829
1.8100047045536013e-08	-0.17723945	-0.98392737	-0.014143461
1.820024699015262e-08	-0.1628374	-0.98640954	-0.01461494
1.830048751239064e-08	-0.14788675	-0.988757	-0.015129402
1.8400114755723758e-08	-0.1324451	-0.99093807	-0.015685443
1.8500261068263772e-08	-0.11629088	-0.99295646	-0.016291615
1.8600509455858056e-08	-0.099436544	-0.9947773	-0.01694805
1.870016388371983e-08	-0.08195414	-0.99635994	-0.017651767
1.8800295823468793e-08	-0.06360581	-0.99768734	-0.018411823
1.890051549405234e-08	-0.044404905	-0.99871224	-0.019226702
1.900019204315709e-08	-0.024427896	-0.9993843	-0.020091098
1.9100346361581196e-08	-0.0034231537	-0.9996584	-0.021012893
1.9200517749247433e-08	0.018563353	-0.99947053	-0.021985877
1.9300197878664603e-08	0.041450005	-0.9987591	-0.023000589
1.9400399933933025e-08	0.06549766	-0.99744356	-0.024060916
1.9500010925877394e-08	0.09045322	-0.99546087	-0.025146019
1.9600202695571566e-08	0.11660926	-0.99270403	-0.02625652
1.9700444480519555e-08	0.1438162	-0.9890932	-0.027371198
1.980007093481253e-08	0.17184046	-0.9845737	-0.028463846
1.9900221529971707e-08	0.20092961	-0.97901237	-0.029524852
2.0000474955007737e-08	0.23086843	-0.97234786	-0.030524388
2.0100131187872057e-08	0.26131052	-0.9645735	-0.03142931
2.0200278747512493e-08	0.29242563	-0.95556307	-0.032222323
2.0300507532655765e-08	0.32390118	-0.9453236	-0.032872856
2.040018693907692e-08	0.35532716	-0.93393576	-0.03335465
2.050036468163107e-08	0.38680893	-0.9213189	-0.03365443
2.060053772392974e-08	0.41795737	-0.9075963	-0.03375723
2.0700223168829848e-08	0.44840088	-0.892939	-0.033659454
2.0800452737660678e-08	0.47824413	-0.8773168	-0.033363312
2.090007799199406e-08	0.5069607	-0.86104906	-0.032883245
2.1000271836558538e-08	0.53473294	-0.8440973	-0.032231268
2.110052404008356e-08	0.5612868	-0.82670003	-0.03143186
2.1200177606609754e-08	0.5863724	-0.8091275	-0.030517286
2.130035966680844e-08	0.61022365	-0.7913264	-0.029504735
2.1400031732571198e-08	0.6325739	-0.77361166	-0.02843168
2.150027497499898e-08	0.6536726	-0.75590575	-0.027312076
2.1600455301215306e-08	0.6734072	-0.73841804	-0.026175791
2.1700110163605434e-08	0.69174707	-0.72130466	-0.025047993
2.1800362175525674e-08	0.7089592	-0.70443285	-0.023932466
2.190004143279405e-08	0.7249121	-0.68804276	-0.022855213
2.2000226395487417e-08	0.73985445	-0.67198557	-0.02181442
2.210042416219323e-08	0.75378126	-0.65636015	-0.020822605
2.2200114174280847e-08	0.7667038	-0.64125067	-0.019889185
2.2300343991272528e-08	0.7788316	-0.6264963	-0.019007005
2.2400508362896035e-08	0.7901564	-0.6121809	-0.018182818
2.250017574427884e-08	0.80070245	-0.59834874	-0.017419506
2.260043906880907e-08	0.81064713	-0.5848315	-0.016707672
2.270011324320753e-08	0.8199299	-0.57176894	-0.016053993
2.2800297127375363e-08	0.8287069	-0.55899495	-0.015449005
2.2900501177701802e-08	0.83698016	-0.5465518	-0.014893629
2.3000189373393396e-08	0.84475297	-0.53448033	-0.014387918
2.3100415197160277e-08	0.85214806	-0.5226291	-0.01392396
2.3200059719707737e-08	0.85911924	-0.511107	-0.013504356
2.3300240910012968e-08	0.8657788	-0.4997612	-0.013121946
2.3400504818006425e-08	0.87212336	-0.48862228	-0.0127765
2.350015819713331e-08	0.87813866	-0.4777434	-0.012467982
2.3600306137244078e-08	0.88391685	-0.4669814	-0.012190929
2.3700546146088433e-08	0.88945484	-0.45635977	-0.011944947
2.3800221504125048e-08	0.8947384	-0.4459262	-0.0117298085
2.3900396991804304e-08	0.89984244	-0.43554848	-0.011541759
2.400003463002327e-08	0.904731	-0.42531428	-0.0113814715
2.410027630706161e-08	0.90947473	-0.41508645	-0.011246046
2.4200480904407997e-08	0.9140557	-0.40491158	-0.011135635
2.4300108481587184e-08	0.91846293	-0.3948248	-0.011049846
2.4400317341462488e-08	0.9227589	-0.3846894	-0.010987067
2.4500008813318154e-08	0.9269062	-0.37459737	-0.01094755
2.460017598623159e-08	0.9309555	-0.36442876	-0.0109305745
2.4700370171110954e-08	0.9348955	-0.3542093	-0.010936221
2.4800052153207002e-08	0.93871325	-0.3439744	-0.010964263
2.4900254386437176e-08	0.94245416	-0.33359766	-0.011015115
2.5000418124376617e-08	0.9461025	-0.32311532	-0.0110889105
2.510010331874379e-08	0.94964707	-0.3125528	-0.011185547
2.5200326751854464e-08	0.95312786	-0.3017799	-0.011306564
2.5300481161987156e-08	0.9565258	-0.29083738	-0.011452094
2.540014532667663e-08	0.95982933	-0.2797486	-0.011622152
2.550039253686059e-08	0.96307486	-0.2683682	-0.011819594
2.5600038481143602e-08	0.9662237	-0.2568042	-0.012043217
2.5700189966112362e-08	0.96931	-0.24490023	-0.012296771
2.5800439183892402e-08	0.9723179	-0.23267213	-0.012580946
2.5900103753252378e-08	0.9752237	-0.22017393	-0.012895212
2.6000243463468026e-08	0.978053	-0.20723984	-0.013244641
2.6100459455785497e-08	0.9807865	-0.1938825	-0.013630047
2.6200140306939615e-08	0.9833994	-0.18014877	-0.014050904
2.630031070828414e-08	0.98590696	-0.16585794	-0.014513692
2.6400477873802528e-08	0.9882822	-0.15103449	-0.015018729
2.6500155169241443e-08	0.9904974	-0.13571027	-0.0155655565
2.6600373131210376e-08	0.99255526	-0.11967985	-0.01616219
2.6700507462405484e-08	0.9944175	-0.10299037	-0.016807456
2.6800162534616502e-08	0.99605006	-0.085663676	-0.017500408
2.690041346953342e-08	0.9974367	-0.06746049	-0.018250272
2.7000047913661246e-08	0.9985226	-0.048550166	-0.019049099
2.7100183881155828e-08	0.9992752	-0.028671343	-0.019906145
2.720042850619616e-08	0.9996374	-0.007845297	-0.020817872
2.7300088931927074e-08	0.9995521	0.01382195	-0.021775592
2.7400222680631676e-08	0.99895394	0.03659735	-0.022785604
2.750042782688098e-08	0.9977695	0.060427725	-0.023838293
2.7600108887572312e-08	0.9959322	0.085182466	-0.02491866
2.7700275923323582e-08	0.99334097	0.11111458	-0.02602614
2.7800437358637166e-08	0.9899168	0.13808791	-0.027140671
2.79001170411144e-08	0.9855954	0.16592757	-0.028238822
2.800033259646125e-08	0.9802481	0.1948528	-0.029310267
2.8100470766390796e-08	0.97382355	0.22459789	-0.030323785
2.8200129975628817e-08	0.9662922	0.25491172	-0.031249443
2.830037931343143e-08	0.9575238	0.28596467	-0.032069664
2.8400021535051595e-08	0.9475988	0.31720337	-0.032748234
2.850017155491878e-08	0.9364098	0.34877023	-0.033268914
2.860042233943037e-08	0.9240228	0.38031512	-0.033608433
2.8700091600223433e-08	0.91059244	0.41139516	-0.03375233
2.8800249611247238e-08	0.8960678	0.44211778	-0.033696238
2.8900462965965276e-08	0.88062084	0.47213155	-0.03344048
2.90001546348575e-08	0.86448383	0.50107753	-0.03299732
2.910035966192002e-08	0.84764004	0.52909344	-0.032378517
2.920000374772358e-08	0.8304262	0.55575144	-0.031612426
2.9300247365836356e-08	0.8127966	0.5812675	-0.03071547
2.9400467111618136e-08	0.7950059	0.60541326	-0.029719507
2.9500117270652663e-08	0.7772864	0.62804383	-0.02865808
2.9600325679532395e-08	0.75955576	0.6494187	-0.027545203
2.9700022572354527e-08	0.74210274	0.6693355	-0.026416231
2.9800230237310676e-08	0.72482985	0.6880441	-0.025280178
2.990042376376639e-08	0.7078932	0.7054963	-0.024160193
3.0000108894957865e-08	0.69141996	0.7216844	-0.023075372
