# t (s)	mx ()	my ()	mz ()
0	0.099875234	0.94881475	0.29962572
1.0026666855022206e-10	0.15767255	0.9768845	0.14279218
2.0041205508168958e-10	0.15791875	0.98597735	0.051113892
3.0003709070147924e-10	0.12538569	0.9919723	-0.0028205148
4.002697235185839e-10	0.07251874	0.9966057	-0.035523392
5.004706784807453e-10	0.006530495	0.99828374	-0.055880915
6.000818527545483e-10	-0.068034396	0.99514264	-0.06912412
7.002731910754394e-10	-0.14935556	0.98551714	-0.07828908
8.005165983209573e-10	-0.23485132	0.96813786	-0.08475612
9.001470634325934e-10	-0.32174152	0.94239235	-0.089150086
1.000298273976655e-09	-0.4086879	0.9077759	-0.091765426
1.1005523926329372e-09	-0.4929641	0.8647766	-0.0926965
1.2002248793950864e-09	-0.57191014	0.81475866	-0.09212511
1.3004104085951e-09	-0.64479005	0.75858915	-0.09034397
1.4000579043918325e-09	-0.7098943	0.69836634	-0.08776448
1.5002853045618235e-09	-0.7676298	0.63477355	-0.08478554
1.600524009926589e-09	-0.81777525	0.5691749	-0.08181882
1.7001687419627738e-09	-0.8605617	0.50260454	-0.079205856
1.800367890432397e-09	-0.8970655	0.43453398	-0.07715738
1.9000549046393154e-09	-0.9274311	0.36560607	-0.07585638
2.0002607795853005e-09	-0.9523735	0.2947922	-0.07538468
2.1004082089664886e-09	-0.97190744	0.22202949	-0.07578961
2.2000801914427125e-09	-0.9859495	0.14713031	-0.077048026
2.3003166284227327e-09	-0.9943358	0.0688559	-0.07909941
2.4004471905422984e-09	-0.99642277	-0.012564421	-0.08178482
2.5000878482085033e-09	-0.99152964	-0.09673898	-0.08484725
2.6003376006290706e-09	-0.9787873	-0.18408239	-0.08798169
2.700502438899868e-09	-0.95753515	-0.2729253	-0.09075554
2.8001379748493394e-09	-0.9275991	-0.3612395	-0.092747584
2.900366670136798e-09	-0.8888092	-0.44801813	-0.093656875
3.000049948538317e-09	-0.8423607	-0.5302254	-0.093330435
3.100214860487235e-09	-0.78903496	-0.6069381	-0.09183974
3.2004186225320615e-09	-0.7305226	-0.67653906	-0.08944253
3.3000991582800154e-09	-0.66865313	-0.738098	-0.08652441
3.4003284581667078e-09	-0.6039747	-0.7922406	-0.083444014
3.500498630667304e-09	-0.53769714	-0.83893937	-0.0805683
3.600168989088644e-09	-0.47055453	-0.8786009	-0.07818209
3.700416335084706e-09	-0.4018938	-0.91222775	-0.076456346
3.800059207412402e-09	-0.3323204	-0.9399107	-0.07553524
3.900233340740849e-09	-0.26064652	-0.96228373	-0.075472735
4.00048301336631e-09	-0.18668467	-0.9792814	-0.07628942
4.100122398275904e-09	-0.110463835	-0.99066484	-0.077930525
4.200263917059562e-09	-0.03075242	-0.9961481	-0.080304325
4.300507845390607e-09	0.052298106	-0.9950075	-0.08321473
4.400167898798345e-09	0.13784055	-0.9865177	-0.08635006
4.5003025522491325e-09	0.2259996	-0.969828	-0.0893649
4.600509872863844e-09	0.31508285	-0.9443839	-0.09182198
4.7001952023802164e-09	0.40272808	-0.91027784	-0.09332882
4.800400061031733e-09	0.48777637	-0.8676115	-0.09365517
4.9000321395085725e-09	0.56735146	-0.8178688	-0.0927583
5.0002273819877036e-09	0.6408231	-0.7618897	-0.09079739
5.100485559437151e-09	0.7068316	-0.7014243	-0.088095285
5.200157961197141e-09	0.7646984	-0.6382642	-0.085061364
5.300329990064186e-09	0.81523955	-0.5727676	-0.0820392
5.400558146532711e-09	0.8586426	-0.50584996	-0.07935929
5.500242740721812e-09	0.8952818	-0.43817392	-0.07727134
5.600423353717614e-09	0.92609394	-0.36896473	-0.07591408
5.7000568612949375e-09	0.95117205	-0.29863882	-0.07539574
5.800280036650195e-09	0.9710083	-0.22593741	-0.07575085
5.9005000034830835e-09	0.98540604	-0.1507619	-0.07697225
6.0001179236200335e-09	0.9940405	-0.07312667	-0.078973316
6.10029638398937e-09	0.9964814	0.008158671	-0.08163069
6.200542111577374e-09	0.9919294	0.092693165	-0.084698796
6.300171019210641e-09	0.97967494	0.17938462	-0.087820485
6.40031866479128e-09	0.9588932	0.26816538	-0.09062366
6.500564164880833e-09	0.9292215	0.3570682	-0.092675544
6.600225018339514e-09	0.8910713	0.44350904	-0.093639575
6.7003845404461506e-09	0.8447754	0.52636385	-0.093374334
6.80001998671305e-09	0.7920333	0.6030053	-0.09194543
6.900257143387871e-09	0.73373836	0.6730311	-0.08958701
7.000496052946533e-09	0.6716768	0.7353298	-0.08667035
7.100145098294826e-09	0.6074734	0.789543	-0.08360611
7.200315049277466e-09	0.5412689	0.8366243	-0.08071186
7.3005573796010295e-09	0.4737975	0.876846	-0.07828247
7.400236764886057e-09	0.40558568	0.91058475	-0.07652897
7.500395009967951e-09	0.3357284	0.93869555	-0.07556045
7.60003444101147e-09	0.26453653	0.9612218	-0.07545371
7.700279776392362e-09	0.19071063	0.97850955	-0.076223835
7.8004678600707e-09	0.11421955	0.990246	-0.077833414
7.900081293570796e-09	0.03509181	0.996016	-0.080161944
8.000277106550807e-09	-0.04774665	0.9952505	-0.083048835
8.100508647955741e-09	-0.13364038	0.98710954	-0.08619808
8.200129182992135e-09	-0.22126321	0.97093475	-0.08921452
8.300293289840104e-09	-0.31030527	0.94597703	-0.09171103
8.400545961383683e-09	-0.39854786	0.91212225	-0.0932819
8.500205794450307e-09	-0.48333853	0.8700916	-0.093669504
8.60035647130805e-09	-0.56362504	0.8204346	-0.09282823
8.70003066662709e-09	-0.6370756	0.7650115	-0.09092438
8.800280411758048e-09	-0.70349365	0.70475227	-0.08825246
8.900447108784422e-09	-0.7620461	0.6414077	-0.08521203
9.000107247917407e-09	-0.81270826	0.5763299	-0.082195505
9.100363101993813e-09	-0.856493	0.5094584	-0.07948965
9.200023147134394e-09	-0.8934593	0.44185847	-0.07736647
9.300179765828754e-09	-0.9245766	0.3727366	-0.07596654
9.400421554481834e-09	-0.95008695	0.30206805	-0.075400904
9.500098042986181e-09	-0.9700859	0.22987454	-0.07570968
9.600246357536997e-09	-0.9847702	0.15489845	-0.07688497
