# t (s)	mx ()	my ()	mz ()
0	0.099875234	0.94881475	0.29962572
5.007465607926577e-11	0.1581897	0.9607875	0.22625871
1.0020751116653851e-10	0.19991834	0.9647106	0.16984132
1.5024598208639182e-10	0.22927327	0.9649216	0.1262033
2.0035661733175192e-10	0.24925455	0.9638208	0.09239682
2.5049499802138767e-10	0.26205522	0.96259004	0.06625127
3.0054999574980825e-10	0.26935464	0.96175945	0.04607117
3.5013850342261253e-10	0.27244475	0.9615103	0.030586135
4.0023816970727104e-10	0.27234107	0.9618515	0.018458048
4.5029251709728686e-10	0.26972842	0.96272373	0.009064059
5.004336039516257e-10	0.26515213	0.9640371	0.0017555084
5.505393715247083e-10	0.25904116	0.9656927	-0.003930999
6.000561283617366e-10	0.2518043	0.96757925	-0.008329109
6.502008140624268e-10	0.24350229	0.9696678	-0.011832354
7.002572708562947e-10	0.23442045	0.9718684	-0.014597851
7.503475225776862e-10	0.22467598	0.97413427	-0.016806267
8.004961671075833e-10	0.21436605	0.9764253	-0.018590897
8.505555325528978e-10	0.20359835	0.97870123	-0.020050008
9.001253900579619e-10	0.1925225	0.9809176	-0.021255767
9.50238323532545e-10	0.18094724	0.9830983	-0.022294119
1.000283404731262e-09	0.16903658	0.985198	-0.023197334
1.0504115943986162e-09	0.15677333	0.9872071	-0.024005031
1.1005337491821153e-09	0.14419015	0.9891077	-0.024744121
1.1500315791861988e-09	0.13145421	0.9908658	-0.025428373
1.2001827756446365e-09	0.118238315	0.9925146	-0.02609228
1.250250627869573e-09	0.10472982	0.9940156	-0.026738603
1.300315202898257e-09	0.0909042	0.9953596	-0.02737842
1.350468097160363e-09	0.07672987	0.99653625	-0.028020466
1.4005425794854435e-09	0.062247336	0.99752855	-0.028668234
1.4500846755779065e-09	0.0475869	0.99831754	-0.02931971
1.5002164952941924e-09	0.032408677	0.99890614	-0.029992431
1.5502521305530638e-09	0.016908204	0.99926835	-0.030679082
1.6003649368065215e-09	0.0010254977	0.999389	-0.0313828
1.6505031372294346e-09	-0.0152296545	0.9992503	-0.032102834
1.7005423797740238e-09	-0.03182034	0.99883497	-0.032836553
1.7501373715829515e-09	-0.048628606	0.99813205	-0.03357712
1.8002228344805745e-09	-0.06597227	0.99710834	-0.03433632
1.8502747268448211e-09	-0.083673075	0.9957504	-0.035103474
1.900420677313253e-09	-0.10177229	0.9940332	-0.035877027
1.9505159770684552e-09	-0.12021059	0.99194086	-0.036650587
2.0000362827310832e-09	-0.13877755	0.9894819	-0.037411373
2.0501793356846744e-09	-0.15790832	0.98657626	-0.038172506
2.1002249138086896e-09	-0.17731497	0.98323977	-0.038917094
2.1503243810245196e-09	-0.19703332	0.9794445	-0.0396411
